protid,PC_Run,Entry.Name,Organism,Taxonomic.lineage,Lineage
A0A015ICG5,Both,A0A015ICG5_RHIIW,Rhizophagus irregularis (strain DAOM 197198w) (Glomus intraradices),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Glomeromycotina (subphylum), Glomeromycetes (class), Glomerales (order), Glomeraceae (family), Rhizophagus (genus), Rhizophagus irregularis (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Mucoromycota', 'Glomeromycotina', 'Glomeromycetes', 'Glomerales', 'Glomeraceae', 'Rhizophagus', 'Rhizophagus irregularis']"
A0A0B7FRH7,Both,A0A0B7FRH7_THACB,Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14) (Lettuce bottom rot fungus) (Rhizoctonia solani),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetes incertae sedis (no rank), Cantharellales (order), Ceratobasidiaceae (family), Rhizoctonia (genus), Rhizoctonia solani (species), Rhizoctonia solani AG-1 (no rank)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Agaricomycotina', 'Agaricomycetes', 'Agaricomycetes incertae sedis', 'Cantharellales', 'Ceratobasidiaceae', 'Rhizoctonia', 'Rhizoctonia solani', 'Rhizoctonia solani AG-1']"
A0A1E3I214,Both,A0A1E3I214_9TREE,Cryptococcus depauperatus CBS 7841,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Tremellomycetes (class), Tremellales (order), Cryptococcaceae (family), Cryptococcus (genus), Cryptococcus depauperatus (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Agaricomycotina', 'Tremellomycetes', 'Tremellales', 'Cryptococcaceae', 'Cryptococcus', 'Cryptococcus depauperatus']"
A0A4P9W5S9,Both,A0A4P9W5S9_9FUNG,Blyttiomyces helicus,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Chytridiomycetes incertae sedis (no rank), Blyttiomyces (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Chytridiomycota', 'Chytridiomycota incertae sedis', 'Chytridiomycetes', 'Chytridiomycetes incertae sedis', 'Blyttiomyces']"
C6H2X6,Both,C6H2X6_AJECH,Ajellomyces capsulatus (strain H143) (Darling's disease fungus) (Histoplasma capsulatum),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Onygenales (order), Ajellomycetaceae (family), Histoplasma (genus), Ajellomyces capsulatus (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'Eurotiomycetes', 'Eurotiomycetidae', 'Onygenales', 'Ajellomycetaceae', 'Histoplasma', 'Ajellomyces capsulatus']"
A0A507EZQ4,Both,A0A507EZQ4_9FUNG,Chytriomyces confervae,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Chytridiales (order), Chytriomycetaceae (family), Chytriomyces (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Chytridiomycota', 'Chytridiomycota incertae sedis', 'Chytridiomycetes', 'Chytridiales', 'Chytriomycetaceae', 'Chytriomyces']"
A0A1M8A8G9,Both,A0A1M8A8G9_MALS4,Malassezia sympodialis (strain ATCC 42132) (Atopic eczema-associated yeast),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Malasseziomycetes (class), Malasseziales (order), Malasseziaceae (family), Malassezia (genus), Malassezia sympodialis (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Ustilaginomycotina', 'Malasseziomycetes', 'Malasseziales', 'Malasseziaceae', 'Malassezia', 'Malassezia sympodialis']"
U5HBM6,Both,U5HBM6_USTV1,Microbotryum lychnidis-dioicae (strain p1A1 Lamole / MvSl-1064) (Anther smut fungus),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Pucciniomycotina (subphylum), Microbotryomycetes (class), Microbotryales (order), Microbotryaceae (family), Microbotryum (genus), Microbotryum lychnidis-dioicae (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Pucciniomycotina', 'Microbotryomycetes', 'Microbotryales', 'Microbotryaceae', 'Microbotryum', 'Microbotryum lychnidis-dioicae']"
A0A8A3P372,Both,A0A8A3P372_9HELO,Monilinia vaccinii-corymbosi,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Helotiales (order), Sclerotiniaceae (family), Monilinia (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'sordariomyceta', 'Leotiomycetes', 'Helotiales', 'Sclerotiniaceae', 'Monilinia']"
A0A2T0AG86,Both,A0A2T0AG86_RHOTO,Rhodosporidium toruloides (Yeast) (Rhodotorula gracilis),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Pucciniomycotina (subphylum), Microbotryomycetes (class), Sporidiobolales (order), Sporidiobolaceae (family), Rhodotorula (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Pucciniomycotina', 'Microbotryomycetes', 'Sporidiobolales', 'Sporidiobolaceae', 'Rhodotorula']"
L8WVM7,Both,L8WVM7_THACA,Thanatephorus cucumeris (strain AG1-IA) (Rice sheath blight fungus) (Rhizoctonia solani),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetes incertae sedis (no rank), Cantharellales (order), Ceratobasidiaceae (family), Rhizoctonia (genus), Rhizoctonia solani (species), Rhizoctonia solani AG-1 (no rank)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Agaricomycotina', 'Agaricomycetes', 'Agaricomycetes incertae sedis', 'Cantharellales', 'Ceratobasidiaceae', 'Rhizoctonia', 'Rhizoctonia solani', 'Rhizoctonia solani AG-1']"
