"","obj_id","species","speciesMatched","uuid","ifungorum_number","acid_phosphatase","acidPhosphatase_count","alpha_glucosidase","alphaGlucosidase15_count","alphaGlucosidase31_count","alphaMannanase76_count","aminoAcidPermease_count","ammoniumTransporter_count","amylase88_count","ascoma_development","ascoma_type","ascus_dehiscence","auxinResponsivePromoter_count","beta_glucosidase","beta_glucuronidase","beta_xylosidase","betaGlucanSynthase_count","betaGlucosidase1_count","betaXylosidase43_count","blueChannel_mean","blueChannel_sd","cellobiohydrolase","cellobiohydrolase6_count","cellobiohydrolase7_count","chitinase_count","chitosanase8_count","Cohens_d_Cellulose","Cohens_d_Glucose","Cohens_d_Lignin","Cohens_d_Tannin","Cohens_d_Xylan","coldShockProtein_count","colour_mean","confidence_fg","crystalineCellulaseAA9_count","culture_media","culture_notes","dsDNA","elevation","em_expl","em_text","endoglucanase12_count","endoglucanase9_count","extension_rate","fruiting_body_size","fungalLigninPeroxidase_count","Genus","glucosidase81_count","glycopeptidase85_count","glycoproteinSynthesis92_count","greenChannel_mean","greenChannel_sd","growth_form_fg","guild_fg","heatShockProtein_count","higher_clade","invertase32_count","latitude","leucine_aminopeptidase","longitude","map","mat","melanin_content","melanin_count","n_acetyl_glucosaminidase","nitrateTransporter_count","notes_fg","peroxidase","phenol_oxidase","phosphateTransporter_count","redChannel_mean","redChannel_sd","RNAHelicase_count","RNApolymerase_count","source_funguild_fg","spore_length","spore_size","spore_width","sporocarp_chitin","sporocarp_N","sporocarp_protein","sporocarp_resp","sterol_type","studyName","substrate","taxonomic_level_fg","tissue_c","tissue_cn","tissue_cp","tissue_n","tissue_np","tissue_p","total_genes","trait_fg","trehalase_count","trophic_mode_fg"
"1","Maynard_etal_2017_1","Armillaria_gallica","Armillaria gallica","f18a12a3-89e6-4061-9dfb-da3f9a64a8d7",131162,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.33,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,"Armillaria",NA,NA,NA,NA,NA,"Agaricoid","Wood Saprotroph",NA,"Basidiomycota",NA,30.465247,0,-89.040298,NA,NA,NA,NA,304,NA,"Common name - Eastern honey mushroom (Eastern US)",0.37,0.22,NA,NA,NA,NA,NA,"Volk TJ, Burdsall HH. 1993. McIlvainea 11:4-11",NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,20,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Pathotroph-Saprotroph"
"2","Maynard_etal_2017_2","Armillaria_gallica","Armillaria gallica","f18a12a3-89e6-4061-9dfb-da3f9a64a8d7",131162,243.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.33,NA,NA,NA,NA,NA,NA,NA,12.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,"Armillaria",NA,NA,NA,NA,NA,"Agaricoid","Wood Saprotroph",NA,"Basidiomycota",NA,43.402553,0,-88.70347,NA,NA,NA,NA,147.33,NA,"Common name - Eastern honey mushroom (Eastern US)",0.3,0.93,NA,NA,NA,NA,NA,"Volk TJ, Burdsall HH. 1993. McIlvainea 11:4-11",NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,20,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Pathotroph-Saprotroph"
"3","Maynard_etal_2017_3","Armillaria_gallica","Armillaria gallica","f18a12a3-89e6-4061-9dfb-da3f9a64a8d7",131162,390.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.33,NA,NA,NA,NA,NA,NA,NA,7.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,NA,"Armillaria",NA,NA,NA,NA,NA,"Agaricoid","Wood Saprotroph",NA,"Basidiomycota",NA,30.465247,0,-89.040298,NA,NA,NA,NA,176.67,NA,"Common name - Eastern honey mushroom (Eastern US)",0.22,0.2,NA,NA,NA,NA,NA,"Volk TJ, Burdsall HH. 1993. McIlvainea 11:4-11",NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,20,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Pathotroph-Saprotroph"
"4","Maynard_etal_2017_4","Armillaria_gallica","Armillaria gallica","f18a12a3-89e6-4061-9dfb-da3f9a64a8d7",131162,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.67,NA,NA,NA,NA,NA,NA,NA,9.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,"Armillaria",NA,NA,NA,NA,NA,"Agaricoid","Wood Saprotroph",NA,"Basidiomycota",NA,31.105861,0,-88.930435,NA,NA,NA,NA,176,NA,"Common name - Eastern honey mushroom (Eastern US)",0.17,0.02,NA,NA,NA,NA,NA,"Volk TJ, Burdsall HH. 1993. McIlvainea 11:4-11",NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,20,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Pathotroph-Saprotroph"
"5","Maynard_etal_2017_5","Armillaria_gallica","Armillaria gallica","f18a12a3-89e6-4061-9dfb-da3f9a64a8d7",131162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,"Armillaria",NA,NA,NA,NA,NA,"Agaricoid","Wood Saprotroph",NA,"Basidiomycota",NA,31.105861,NA,-88.930435,NA,NA,NA,NA,NA,NA,"Common name - Eastern honey mushroom (Eastern US)",NA,NA,NA,NA,NA,NA,NA,"Volk TJ, Burdsall HH. 1993. McIlvainea 11:4-11",NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,20,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Pathotroph-Saprotroph"
"6","Maynard_etal_2017_6","Armillaria_gallica","Armillaria gallica","f18a12a3-89e6-4061-9dfb-da3f9a64a8d7",131162,86.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.33,NA,NA,NA,NA,NA,NA,NA,13.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,"Armillaria",NA,NA,NA,NA,NA,"Agaricoid","Wood Saprotroph",NA,"Basidiomycota",NA,30.465247,0.67,-89.040298,NA,NA,NA,NA,78.67,NA,"Common name - Eastern honey mushroom (Eastern US)",0.39,0.38,NA,NA,NA,NA,NA,"Volk TJ, Burdsall HH. 1993. McIlvainea 11:4-11",NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,20,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Pathotroph-Saprotroph"
"7","Maynard_etal_2017_7","Armillaria_gallica","Armillaria gallica","f18a12a3-89e6-4061-9dfb-da3f9a64a8d7",131162,31.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,7.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,NA,NA,"Armillaria",NA,NA,NA,NA,NA,"Agaricoid","Wood Saprotroph",NA,"Basidiomycota",NA,43.557132,0.67,-89.641414,NA,NA,NA,NA,11.33,NA,"Common name - Eastern honey mushroom (Eastern US)",0.43,0.66,NA,NA,NA,NA,NA,"Volk TJ, Burdsall HH. 1993. McIlvainea 11:4-11",NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,20,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Pathotroph-Saprotroph"
"8","Maynard_etal_2017_8","Armillaria_gallica","Armillaria gallica","f18a12a3-89e6-4061-9dfb-da3f9a64a8d7",131162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armillaria",NA,NA,NA,NA,NA,"Agaricoid","Wood Saprotroph",NA,"Basidiomycota",NA,44.912304,NA,-88.594208,NA,NA,NA,NA,NA,NA,"Common name - Eastern honey mushroom (Eastern US)",NA,NA,NA,NA,NA,NA,NA,"Volk TJ, Burdsall HH. 1993. McIlvainea 11:4-11",NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,20,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Pathotroph-Saprotroph"
"9","Maynard_etal_2017_9","Armillaria_gallica","Armillaria gallica","f18a12a3-89e6-4061-9dfb-da3f9a64a8d7",131162,404.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,6.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,"Armillaria",NA,NA,NA,NA,NA,"Agaricoid","Wood Saprotroph",NA,"Basidiomycota",NA,44.886161,0.67,-87.859583,NA,NA,NA,NA,580,NA,"Common name - Eastern honey mushroom (Eastern US)",0.44,0.19,NA,NA,NA,NA,NA,"Volk TJ, Burdsall HH. 1993. McIlvainea 11:4-11",NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,20,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Pathotroph-Saprotroph"
"10","Maynard_etal_2017_10","Armillaria_gallica","Armillaria gallica","f18a12a3-89e6-4061-9dfb-da3f9a64a8d7",131162,297.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA,"Armillaria",NA,NA,NA,NA,NA,"Agaricoid","Wood Saprotroph",NA,"Basidiomycota",NA,43.773821,3.33,-87.718678,NA,NA,NA,NA,452.67,NA,"Common name - Eastern honey mushroom (Eastern US)",0.24,0.32,NA,NA,NA,NA,NA,"Volk TJ, Burdsall HH. 1993. McIlvainea 11:4-11",NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,20,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Pathotroph-Saprotroph"
