"","Organism_uniprot","n_prot","species_name","kingdom","phylum","class","order","family","genus"
"1","[Candida] intermedia",10617,"[Candida] intermedia","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Candida"
"2","[Torrubiella] hemipterigena",11065,"[Torrubiella] hemipterigena","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Torrubiella"
"3","Aaosphaeria arxii CBS 175.79",13815,"Aaosphaeria arxii CBS 175.79","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,"Aaosphaeria"
"4","Absidia glauca (Pin mould)",14217,"Absidia glauca ","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Absidia"
"5","Absidia repens",14353,"Absidia repens","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Absidia"
"6","Acaromyces ingoldii",7585,"Acaromyces ingoldii","Fungi","Basidiomycota","Exobasidiomycetes","Exobasidiales","Cryptobasidiaceae","Acaromyces"
"7","Acidomyces richmondensis BFW",10856,"Acidomyces richmondensis BFW","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Acidomyces"
"8","Agaricus bisporus var. burnettii (strain JB137-S8 / ATCC MYA-4627 / FGSC 10392) (White button mushroom)",10948,"Agaricus bisporus var. burnettii ","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus"
"9","Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)",9199,"Ajellomyces capsulatus ","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Ajellomyces "
"10","Ajellomyces capsulatus (strain H143) (Darling's disease fungus) (Histoplasma capsulatum)",9314,"Ajellomyces capsulatus ","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Ajellomyces "
"11","Ajellomyces capsulatus (strain H88) (Darling's disease fungus) (Histoplasma capsulatum)",9125,"Ajellomyces capsulatus ","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Ajellomyces "
"12","Ajellomyces capsulatus (strain NAm1 / WU24) (Darling's disease fungus) (Histoplasma capsulatum)",8963,"Ajellomyces capsulatus ","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Ajellomyces "
"13","Ajellomyces dermatitidis (strain ATCC 18188 / CBS 674.68) (Blastomyces dermatitidis)",10368,"Ajellomyces dermatitidis ","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Blastomyces"
"14","Ajellomyces dermatitidis (strain ER-3 / ATCC MYA-2586) (Blastomyces dermatitidis)",10074,"Ajellomyces dermatitidis ","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Blastomyces"
"15","Akanthomyces lecanii RCEF 1005",10646,"Akanthomyces lecanii RCEF 1005","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Akanthomyces"
"16","Allomyces macrogynus (strain ATCC 38327) (Allomyces javanicus var. macrogynus)",18388,"Allomyces macrogynus ","Fungi","Blastocladiomycota","Blastocladiomycetes","Blastocladiales","Blastocladiaceae","Allomyces"
"17","Alternaria alternata (Alternaria rot fungus) (Torula alternata)",23853,"Alternaria alternata ","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
"18","Alternaria arborescens",12610,"Alternaria arborescens","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
"19","Alternaria tenuissima",28377,"Alternaria tenuissima","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
"20","Amanita muscaria (strain Koide BX008)",17633,"Amanita muscaria ","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita"
"21","Amanita thiersii Skay4041",10068,"Amanita thiersii Skay4041","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita"
"22","Amniculicola lignicola CBS 123094",15156,"Amniculicola lignicola CBS 123094","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","Amniculicola"
"23","Amorphotheca resinae ATCC 22711",9357,"Amorphotheca resinae ATCC 22711","Fungi","Ascomycota","Leotiomycetes","Helotiales","Amorphothecaceae","Amorphotheca"
"24","Ampelomyces quisqualis (Powdery mildew agent)",10893,"Ampelomyces quisqualis ","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Ampelomyces"
"25","Anaeromyces robustus",11854,"Anaeromyces robustus","Fungi","Chytridiomycota","Neocallimastigomycetes","Neocallimastigales","Neocallimastigaceae","Anaeromyces"
"26","Antrodiella citrinella",8912,"Antrodiella citrinella","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Steccherinaceae","Antrodiella"
"27","Apiotrichum porosum",8817,"Apiotrichum porosum","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum"
"28","Aplosporella prunicola CBS 121167",12153,"Aplosporella prunicola CBS 121167","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Aplosporellaceae","Aplosporella"
"29","Armillaria gallica (Bulbous honey fungus) (Armillaria bulbosa)",25337,"Armillaria gallica ","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria"
"30","Armillaria ostoyae (Armillaria root rot fungus)",21642,"Armillaria ostoyae ","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria"
"31","Armillaria solidipes",20453,"Armillaria solidipes","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria"
"32","Arthrobotrys flagrans",9927,"Arthrobotrys flagrans","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys"
"33","Arthrobotrys oligospora (strain ATCC 24927 / CBS 115.81 / DSM 1491) (Nematode-trapping fungus) (Didymozoophaga oligospora)",10989,"Arthrobotrys oligospora ","Fungi","Ascomycota","Leotiomycetes","Helotiales","Orbiliaceae","Arthrobotrys"
"34","Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)",7692,"Arthroderma benhamiae ","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Trichophyton"
"35","Arthroderma gypseum (strain ATCC MYA-4604 / CBS 118893) (Microsporum gypseum)",8604,"Arthroderma gypseum ","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Nannizzia"
"36","Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) (Microsporum canis)",8454,"Arthroderma otae ","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Microsporum"
"37","Ascobolus immersus RN42",17317,"Ascobolus immersus RN42","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus"
"38","Ascodesmis nigricans",9344,"Ascodesmis nigricans","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascodesmidaceae","Ascodesmis"
"39","Ascoidea rubescens DSM 1968",6424,"Ascoidea rubescens DSM 1968","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Ascoideaceae","Ascoidea"
